      x_i        y_i          z_i           f_i 
 -0.9902  -14.6682   23.2736   -0.0042
   19.7664   -0.4602   11.5408    0.0556
   -3.1380  -13.8839  -10.4477    0.0042
   11.4504    3.9205    1.2489    0.5756
   -8.0992   -8.1614    7.0769    0.0356
   -3.6743   -1.7263   -2.6561    0.1692
    0.2577   -4.0236    3.9364    0.3358
    7.2242    3.4520    8.3877    0.8381
   23.7132   14.4724   15.3346    0.0202
    6.1000   20.5038   -9.0482   -0.0020
    0.8866    9.2904   -5.3057    0.2275
  6.7954    4.3471    3.5719    0.9520
    9.2112   11.7215    4.0014    0.5284
   21.7768    7.0615   -3.0013    0.0318
   24.9695    4.9188    9.9325    0.0305
   11.9696    5.2004   17.3757    0.1252
   -8.6638   -0.5845   17.9595    0.0366
    8.6305   23.8608    2.2180    0.0337
   -0.6704    2.8002    7.1713    0.6573
   -5.4415   -9.1440   11.3073    0.0337
   11.9714    1.9719   -0.4855    0.4296
    9.8403   -0.6957    7.2963    0.5459
    3.0625    3.7851    8.5531    0.8412
    1.2190    1.0983   10.2128    0.5713
   -3.8637   -3.4429   -1.1597    0.1522
  -13.4020  -12.3776   18.4580    0.0134
  -11.2820    0.5048   14.7492    0.0321
   -6.7379  -10.4793  -18.7793    0.0173
    0.8459    4.0422   -5.9232    0.2487   
   10.1124   -0.6079   -1.4337    0.3709
   -6.9912    6.7930    6.7079    0.2241
    4.0364   -2.7151   1 .4484    0.0811
    9.4582   -4.4339   24.3627    0.0023
    2.0418   -9.0757   12.4134    0.0726
    3.3200  -14.0613   13.1198    0.0009   
  -8.3511    6.7509   14.0771    0.0635
   15.4769    7.2943   28.6960    0.0011
   13.6333   -7.4089   10.1977    0.0839
   -1.4241   12.0000    9.1053    0.3441
   11.6001    9.2688   15.5259    0.2038
   17.9412   19.5480    9.2878    0.0057
    8.1458   -0.1019   17.9509    0.1407
   13.5957    4.9334    3.1395    0.4692
    6.2867   -0.2550    6.3073    0.7253
    5.1657   12.1770   -1.5763    0.3817
    4.2720   15.8837   -2.5927    0.1716
   -4.9431   10.0055   -0.9517    0.2031
   -2.4736   32.7179   13.1240   -0.0006
    4.6919    3.3969    5.6954    0.9534
   14.8835    9.2949  -13.3369    0.0279
  
  
